User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities
1,20,non-binary,Bangalore,Undergraduate,Freelancer,Hinge,Hinge,Monthly,1 hour,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance
2,24,female,Delhi,Undergraduate,Part-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance
3,24,non-binary,Kolkata,Undergraduate,Intern,OkCupid,Hinge,Weekly,2 hours,Casual Dating,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance
4,22,non-binary,Delhi,Graduate,Full-time Job,OkCupid,OkCupid,Daily,30 minutes,Casual Fun,3,Lack of Genuine Matches,AI Recommendations,Voice Notes,Personality > Interests > Values
5,18,male,Delhi,Graduate,Intern,OkCupid,OkCupid,Weekly,2 hours,Casual Fun,4,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality
6,23,female,Mumbai,Undergraduate,Student,OkCupid,Hinge,Daily,1.5 hours,Casual Dating,2,Lack of Genuine Matches,Audio Calls,Video Calls,Values > Personality > Appearance
7,22,non-binary,Chennai,Postgraduate,Part-time Job,Tinder,Tinder,Monthly,30 minutes,Finding a Partner,4,Time-Wasting,Audio Calls,Text,Personality > Interests > Values
8,21,female,Pune,Postgraduate,Freelancer,Hinge,Tinder,Weekly,1.5 hours,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance
9,20,male,Pune,Postgraduate,Part-time Job,Hinge,OkCupid,Daily,2 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance
10,20,non-binary,Chennai,Undergraduate,Intern,OkCupid,Bumble,Weekly,3 hours,Finding a Partner,1,Safety Concerns,Location-Based Matching,Video Calls,Values > Personality > Appearance
11,18,female,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,1 hour,Social Interaction,1,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
12,21,male,Delhi,Undergraduate,Part-time Job,OkCupid,Hinge,Monthly,3 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality
13,22,male,Bangalore,Undergraduate,Student,Hinge,OkCupid,Monthly,1 hour,Casual Dating,3,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values
14,19,non-binary,Bangalore,Undergraduate,Student,Hinge,Bumble,Daily,2 hours,Social Interaction,1,Lack of Genuine Matches,AI Recommendations,Voice Notes,Personality > Interests > Values
15,22,non-binary,Chennai,Graduate,Intern,Hinge,Hinge,Daily,1.5 hours,Casual Fun,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality
16,19,female,Bangalore,Undergraduate,Freelancer,Hinge,OkCupid,Daily,1.5 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality
17,22,non-binary,Hyderabad,Graduate,Part-time Job,Bumble,Tinder,Monthly,1 hour,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance
18,19,non-binary,Hyderabad,Graduate,Student,OkCupid,OkCupid,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values
19,24,male,Hyderabad,Graduate,Intern,OkCupid,Hinge,Daily,30 minutes,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values
20,22,non-binary,Pune,Undergraduate,Student,Hinge,Hinge,Weekly,1.5 hours,Finding a Partner,1,Time-Wasting,Video Calls,Voice Notes,Appearance > Interests > Personality
21,22,male,Mumbai,Postgraduate,Freelancer,Hinge,Bumble,Weekly,3 hours,Social Interaction,1,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance
22,25,non-binary,Hyderabad,Undergraduate,Intern,OkCupid,Hinge,Weekly,3 hours,Finding a Partner,5,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality
23,20,female,Pune,Graduate,Full-time Job,Hinge,OkCupid,Daily,3 hours,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Appearance > Interests > Personality
24,18,male,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,2 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality
25,24,male,Bangalore,Postgraduate,Full-time Job,OkCupid,Tinder,Daily,2 hours,Social Interaction,3,Time-Wasting,Location-Based Matching,Text,Values > Personality > Appearance
26,24,male,Kolkata,Graduate,Full-time Job,Bumble,OkCupid,Weekly,3 hours,Social Interaction,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Values > Personality > Appearance
27,21,female,Delhi,Undergraduate,Student,Bumble,Tinder,Weekly,3 hours,Casual Dating,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality
28,23,male,Kolkata,Undergraduate,Part-time Job,Bumble,Hinge,Weekly,2 hours,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
29,19,female,Chennai,Undergraduate,Student,OkCupid,OkCupid,Weekly,3 hours,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Video Calls,Appearance > Interests > Personality
30,18,male,Mumbai,Undergraduate,Freelancer,Tinder,Tinder,Daily,3 hours,Finding a Partner,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Personality > Interests > Values
31,24,non-binary,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,Lack of Genuine Matches,Audio Calls,Voice Notes,Personality > Interests > Values
32,20,male,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Monthly,1 hour,Finding a Partner,3,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance
33,24,female,Delhi,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,30 minutes,Casual Dating,3,Time-Wasting,Detailed Profiles,Text,Personality > Interests > Values
34,25,male,Kolkata,Graduate,Full-time Job,OkCupid,Hinge,Weekly,3 hours,Finding a Partner,5,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
35,21,female,Delhi,Graduate,Full-time Job,Bumble,OkCupid,Daily,2 hours,Casual Dating,3,Safety Concerns,Audio Calls,Voice Notes,Values > Personality > Appearance
36,22,non-binary,Mumbai,Postgraduate,Part-time Job,OkCupid,Hinge,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality
37,22,female,Kolkata,Undergraduate,Intern,Bumble,Hinge,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Video Calls,Voice Notes,Personality > Interests > Values
38,20,female,Mumbai,Undergraduate,Full-time Job,Hinge,Tinder,Daily,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality
39,21,male,Delhi,Postgraduate,Full-time Job,Bumble,Tinder,Daily,1 hour,Casual Fun,1,Safety Concerns,Location-Based Matching,Voice Notes,Personality > Interests > Values
40,18,male,Kolkata,Graduate,Intern,Tinder,Bumble,Weekly,1 hour,Social Interaction,5,Lack of Genuine Matches,Audio Calls,Video Calls,Appearance > Interests > Personality
41,24,male,Bangalore,Undergraduate,Student,Bumble,Tinder,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance
42,19,female,Pune,Postgraduate,Part-time Job,OkCupid,Tinder,Weekly,2 hours,Casual Dating,2,Safety Concerns,Detailed Profiles,Voice Notes,Values > Personality > Appearance
43,19,female,Bangalore,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,2 hours,Social Interaction,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Values > Personality > Appearance
44,23,female,Delhi,Postgraduate,Freelancer,Tinder,Hinge,Weekly,2 hours,Casual Fun,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values
45,21,male,Delhi,Undergraduate,Student,Tinder,Hinge,Daily,1.5 hours,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance
46,19,female,Hyderabad,Graduate,Intern,OkCupid,OkCupid,Weekly,2 hours,Casual Dating,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance
47,21,male,Kolkata,Graduate,Intern,OkCupid,Hinge,Daily,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Video Calls,Video Calls,Values > Personality > Appearance
48,24,non-binary,Bangalore,Undergraduate,Full-time Job,Bumble,Hinge,Weekly,2 hours,Finding a Partner,2,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance
49,21,male,Bangalore,Postgraduate,Student,OkCupid,Hinge,Weekly,30 minutes,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
50,19,male,Kolkata,Postgraduate,Full-time Job,Bumble,Hinge,Weekly,30 minutes,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Voice Notes,Appearance > Interests > Personality
51,19,female,Pune,Postgraduate,Freelancer,Bumble,Tinder,Monthly,1 hour,Social Interaction,5,Lack of Genuine Matches,Video Calls,Voice Notes,Personality > Interests > Values
52,25,non-binary,Delhi,Graduate,Part-time Job,Tinder,OkCupid,Daily,3 hours,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality
53,25,male,Mumbai,Graduate,Full-time Job,Bumble,Tinder,Daily,1.5 hours,Casual Fun,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality
54,18,male,Delhi,Postgraduate,Student,Hinge,OkCupid,Weekly,3 hours,Social Interaction,5,Safety Concerns,AI Recommendations,Video Calls,Appearance > Interests > Personality
55,22,non-binary,Mumbai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,3 hours,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Values > Personality > Appearance
